"","x"
"1",0.2103125
"2",0.166
"3",0.5
"4",0
"5",0.571428571
"6",0.4
"7",0.367142857
"8",2.214285714
"9",0.161290323
"10",0
"11",0.62
"12",0
"13",0.5
"14",0.5
"15",0
"16",0.266
"17",0
"18",0.086296296
"19",0
"20",0.166
"21",0.166
"22",0
"23",0.571428571
"24",0.367142857
"25",0
"26",0.62
"27",0.62
"28",2.214285714
"29",0.086296296
"30",0.161290323
"31",3.714285714
"32",0.367142857
"33",0.166
"34",0
"35",1.583333333
"36",2.214285714
"37",0.571428571
"38",2.214285714
"39",0.4
"40",0.5
"41",0
"42",0.6
"43",0.4
"44",0.367142857
"45",0.086296296
"46",1.583333333
"47",1.583333333
"48",1.583333333
"49",0.086296296
"50",0
"51",2.125
"52",0.086296296
"53",3.714285714
"54",0
"55",0.161290323
"56",0.5
"57",2.214285714
"58",2.125
"59",0.5
"60",0
"61",1.583333333
"62",0
"63",2.214285714
"64",0
"65",0.536666667
"66",0
"67",0.62
"68",2.214285714
"69",0.6
"70",0.6
"71",0
"72",0
"73",0
"74",0
"75",0.536666667
"76",0
"77",0.4
"78",1.583333333
"79",0
"80",0.086296296
"81",0.2103125
"82",2.214285714
"83",0.536666667
"84",0.536666667
"85",0.6
"86",0.536666667
"87",0.5
"88",0
"89",0
"90",0.367142857
"91",0.536666667
"92",0.5
"93",1.583333333
"94",2.125
"95",0.62
"96",0.571428571
"97",2.214285714
"98",0.536666667
"99",2.214285714
"100",0
"101",0
"102",0.161290323
"103",2.214285714
"104",0.6
"105",0
"106",0.161290323
"107",0.086296296
"108",0.5
"109",0
"110",0.266
"111",0.536666667
"112",0.086296296
"113",0.5
"114",0.142857143
"115",0.086296296
"116",0
"117",0.266
"118",0
"119",0.161290323
"120",0
"121",0.571428571
"122",2.125
"123",0.166
"124",0.2103125
"125",0.086296296
"126",0
"127",0.367142857
"128",0.62
"129",0.142857143
"130",0.5
"131",0
"132",0
"133",0.5
"134",0
"135",0
"136",0.5
"137",0
"138",2.125
"139",0.6
"140",0.5
"141",0
"142",0.142857143
"143",0.142857143
"144",0.367142857
"145",0.62
"146",0.62
"147",0.367142857
"148",1.583333333
"149",0.142857143
"150",0.5
"151",0.142857143
"152",0.571428571
"153",3.714285714
"154",0
"155",0.62
"156",0.4
"157",0.536666667
"158",0.62
"159",0.4
"160",0.4
"161",2.214285714
"162",2.214285714
"163",0.536666667
"164",0.2103125
"165",0.2103125
"166",2.125
"167",0
"168",0.571428571
"169",1.583333333
"170",3.714285714
"171",0.166
"172",0.5
"173",0.571428571
"174",2.125
"175",0.6
"176",0
"177",0
"178",0.266
"179",2.125
"180",0.62
"181",0
"182",1.583333333
"183",0.5
"184",0.367142857
"185",0.086296296
"186",0
"187",0.5
"188",0.6
"189",0.166
"190",0
"191",2.214285714
"192",0
"193",0.5
"194",0
"195",3.714285714
"196",0.166
"197",0.5
"198",0.62
"199",0.571428571
"200",1.583333333
"201",0.266
"202",0
"203",0.4
"204",0.4
"205",0
"206",0.161290323
"207",0.166
"208",0.367142857
"209",0
"210",0.536666667
"211",0.6
"212",0.266
"213",0.166
"214",0
"215",0.266
"216",1.583333333
"217",0
"218",0.4
"219",0
"220",0.086296296
"221",0
"222",0
"223",0.367142857
"224",0
"225",0.62
"226",2.214285714
"227",0
"228",0
"229",0.5
"230",0.161290323
"231",0.2103125
"232",0.166
"233",0.266
"234",0
"235",0
"236",0
"237",0.142857143
"238",0.571428571
"239",0.571428571
"240",0.6
"241",0.62
"242",2.125
"243",0.086296296
"244",3.714285714
"245",0.62
"246",0
"247",0.4
"248",0.536666667
"249",0
"250",0.4
"251",3.714285714
"252",0.6
"253",0
"254",0
"255",1.583333333
"256",0.367142857
"257",0.266
"258",0.367142857
"259",2.214285714
"260",2.125
"261",2.125
"262",0.536666667
"263",0
"264",0.2103125
"265",0
"266",0.536666667
"267",0
"268",0.6
"269",0.161290323
"270",0.2103125
"271",0.6
"272",0.4
"273",0.571428571
"274",0
"275",0.142857143
"276",2.125
"277",0
"278",0.5
"279",0.161290323
"280",0.266
"281",0.2103125
"282",1.583333333
"283",0.4
"284",0.4
"285",0
"286",0.2103125
"287",2.125
"288",2.125
"289",0.571428571
"290",0
"291",0.5
"292",0.2103125
"293",2.214285714
"294",0
"295",0.571428571
"296",0.62
"297",0.367142857
"298",0
"299",0
"300",0
"301",0
"302",0.62
"303",0.4
"304",0.086296296
"305",0.367142857
"306",0.536666667
"307",0
"308",0.4
"309",0
"310",0.266
"311",0
"312",1.583333333
"313",0.2103125
"314",0
"315",2.125
"316",0.6
"317",0
"318",2.214285714
"319",1.583333333
"320",0
"321",0.142857143
"322",0
"323",0
"324",0
"325",0.086296296
"326",0.5
"327",2.214285714
"328",0.571428571
"329",3.714285714
"330",0.5
"331",0.4
"332",0.571428571
"333",0
"334",0.142857143
"335",1.583333333
"336",0.5
"337",0.5
"338",0.161290323
"339",0.166
"340",0.367142857
"341",0
"342",0.266
"343",0.5
"344",0
"345",0.6
"346",0.4
"347",0.142857143
"348",0
"349",1.583333333
"350",0
"351",0.367142857
"352",2.214285714
"353",0.62
"354",0
"355",2.125
"356",0.367142857
"357",1.583333333
"358",0.2103125
"359",0
"360",0.161290323
"361",0.571428571
"362",0.571428571
"363",0
"364",0
"365",0.571428571
"366",0.571428571
"367",0.536666667
"368",0
"369",0.571428571
"370",0
"371",0.367142857
"372",0.62
"373",0
"374",0.086296296
"375",0
"376",0.571428571
"377",0.571428571
"378",0.367142857
"379",0.5
"380",0.166
"381",0
"382",1.583333333
"383",3.714285714
"384",0.5
"385",0.571428571
"386",0
"387",0
"388",0.142857143
"389",2.214285714
"390",3.714285714
"391",0.62
"392",0.367142857
"393",0.5
"394",0.536666667
"395",0
