CIUDAD;DEPARTAMENTO;ACUERDO DE OBRA;INSTITUCIÓN EDUCATIVA;FECHA INICIO F1;TIPO DE INTERVENCION;FECHA FIN F1;VALOR INICIAL F1;VALOR ADICIONADO REAL F1;VALOR FACTURADO REAL FASE 1;PLAZO FASE 1;FECHA FIN ULTIMO PRODUCTO F1;FECHA RADICACIÓN LICENCIA;FECHA EXPEDICIÓN LICENCIA;DIFERENCIA;DIF_TRASLA;FECHA ORDEN DE INICIO F2;PLAZO FASE OBRA (F2);VALOR INICIAL F2;VALOR ADICIONADO REAL F2;VALOR FACTURADO REAL F2;FECHA FIN F2 REAL;ESTADO ACTUAL F1;ESTADO ACTUAL F2;COMENTARIOS;AVANCE FASE 1;AVANCE FASE 2;PAGO ETAPA 1 F2;PAGO ETAPA 2 F2;PAGO ETAPA 3 F2;PAGO ETAPA 4 F2;PAGO ETAPA 5 F2;FECHA INI REAL F2 ETAPA 1;FECHA INI REAL F2 ETAPA 2;FECHA INI REAL F2 ETAPA 3;FECHA INI REAL F2 ETAPA 4;FECHA INI REAL F2 ETAPA 5;PLAZO ETAPA 1 F2;PLAZO ETAPA 2 F2;PLAZO ETAPA 3 F2;PLAZO ETAPA 4 F2;PLAZO ETAPA 5 F2;SUSPENSION TOTAL F2 ETAPA 1;SUSPENSION TOTAL F2 ETAPA 2;SUSPENSION TOTAL F2 ETAPA 3;SUSPENSION TOTAL F2 ETAPA 4;SUSPENSION TOTAL F2 ETAPA 5;PRORROGA TOTAL F2 ETAPA 1;PRORROGA TOTAL F2 ETAPA 2;PRORROGA TOTAL F2 ETAPA 3;PRORROGA TOTAL F2 ETAPA 4;PRORROGA TOTAL F2 ETAPA 5;AVANCE F2 ETAPA 1;AVANCE F2 ETAPA 2;AVANCE F2 ETAPA 3;AVANCE F2 ETAPA 4;AVANCE F2 ETAPA 5
Tunja;Boyacá;201001;Gonzalo Suarez Rendón;4/01/2017;Ampliación y Mejoramiento;19/04/2017;13379094;0;;3.5;13/03/2018;;;;;;9;165433540;0;;;Pendiente de licencia;No iniciado;;1;0;18197689.4;82551336.46;13234683.2;37222546.5;14227284.44;;;;;;0;0;0;0;0;;;;;;;;;;;0;0;0;0;0
Tunja;Boyacá;406001;Julius Sieber;4/01/2017;Construcción;19/04/2017;10892475;0;;3.5;;;;;;;10;139067675;0;;;Iniciado;No iniciado;;0.4014;0;15297444.25;69394769.83;11125414;31290226.88;11959820.05;;;;;;0;0;0;0;0;;;;;;;;;;;0;0;0;0;0
Tunja;Boyacá;201002;Normal Superior Leonor Álvarez Pinzón;4/01/2017;Ampliación;19/04/2017;19118430;0;;3.5;30/01/2018;25/08/2017;27/02/2018;28;204;6/03/2018;10;194895907;0;;6/01/2019;Terminado;Suspendido;;1;0.7524;21438549.77;97253057.59;15591672.56;43851579.08;16761048;1/03/2019;31/03/2018;7/04/2018;16/06/2018;23/06/2018;94;272;252;166;302;;;;;;;;;;;1;0.997678;0.715813;0.3430382;0.06188
Sogamoso;Boyacá;406010;Gustavo Jiménez - Sede Principal;5/01/2017;Ampliación;20/04/2017;20648469;0;;3.5;30/01/2018;29/06/2017;8/08/2017;-175;1;27/11/2017;10;192973088;0;;26/09/2018;Terminado;"Iniciado
";;1;0.6171;21227039.68;96293570.91;15437847.04;43418944.8;16595685.57;1/03/2019;16/01/2017;13/01/2018;16/06/2018;14/04/2018;80;254;217;131;302;;;;;;;;;;;1;0.964;0.0188;0.06112;0.12592
Sogamoso;Boyacá;406006;Gustavo Jiménez - Sede Nueva;4/01/2017;Construcción;19/04/2017;29210119;0;;3.5;30/01/2018;29/06/2017;4/09/2017;-148;28;27/11/2017;12;284972602;0;;4/12/2018;Terminado;"Iniciado
";;1;0.6238;31346986.22;142201328.4;22797808.16;64118835.45;24507643.77;1/03/2019;9/12/2017;10/02/2018;25/08/2018;;86;306;286;169;372;;;;;;;;;;;1;0.964;0.07095;0;0.314792
Sogamoso;Boyacá;406008;El Crucero;4/01/2017;Construcción;19/04/2017;12203429;0;;3.5;24/07/2018;19/09/2017;;;;;8;157099472;0;;;Terminado;"Desistimiento de licencia
";;1;0;17280941.92;78392636.53;12567957.76;35347381.2;13510554.59;;;;;;0;0;0;0;0;;;;;;;;;;;0;0;0;0;0
Sogamoso;Boyacá;406007;Silvestre Arenas;4/01/2017;Ampliación;19/04/2017;13366580;0;;3.5;30/01/2018;29/07/2017;4/09/2017;-148.000001;28.000001;27/11/2017;8;171186589;0;;27/04/2019;Terminado;"Abandonado
";;1;0.2545;18830524.79;85422107.91;13694927.12;38516982.53;14722046.65;1/03/2019;3/03/2018;24/03/2018;24/11/2018;;57;404;199;118;245;;;;;;;;;;;1;0.2641544;0;0.02152;0.0912
Sogamoso;Boyacá;406009;Politécnico Álvaro González Santana;24/05/2017;Ampliación;8/09/2017;23027417;0;;3.5;;23/09/2017;;;;;10;214755524;0;;;Iniciado;No iniciado;;0.89209;0;23623107.64;107163006.5;17180441.92;48319992.9;18468975.06;;;;;;0;0;0;0;0;;;;;;;;;;;0;0;0;0;0
Floridablanca;Santander;406002;Gabriel García Márquez;4/01/2017;Construcción;3/05/2017;38551707;0;;4;29/08/2018;;;;;;12;378121848;0;;;Terminado;"Iniciado
";;1;0.11;41593403.28;188682802.2;30249747.84;85077415.8;32518478.93;1/03/2019;9/03/2019;;;;0;0;0;0;0;;;;;;;;;;;1;0;0;0;0
Floridablanca;Santander;406004;Vicente Azuero - Sede A;4/01/2017;Ampliación;19/04/2017;18006179;0;;3.5;3/08/2018;;;;;;9;185865289;0;;;Terminado;No iniciado;;1;0;20445181.79;92746779.21;14869223.12;41819690.03;15984414.85;;;;;;0;0;0;0;0;;;;;;;;;;;0;0;0;0;0
Floridablanca;Santander;406011;El Carmen;4/01/2017;Construcción;20/10/2017;27923586;0;;3.5;;;;;;;12;297377245;0;;;Inviable;No iniciado;;0.07083;0;32711496.95;148391245.3;23790179.6;66909880.13;25574443.07;;;;;;0;0;0;0;0;;;;;;;;;;;0;0;0;0;0
Floridablanca;Santander;;Madre del Buen Consejo;;;;;0;;;;;;;;;;;0;;;Inviable;Sin información;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Floridablanca;Santander;406005;Rafael Pombo;4/01/2017;Ampliación;19/04/2017;25083705;0;;3.5;;;;;;;11;250182001;0;;;Inviable;No iniciado;;0.09;0;27520020.11;124840818.5;20014560.08;56290950.23;21515652.09;;;;;;0;0;0;0;0;;;;;;;;;;;0;0;0;0;0
