ID,CECOS EN PSL los 129 finales,CECOS EN PSL iniciales los 460,CECO%CONSOLIDADO,TIPO_OBRA_MANUAL,AREA_MANUAL,DURACION_ORIGINAL,DURACION_AÑADIDA,PORCENTAJE_DURACION,VALOR_ORIGINAL_MANUAL,VALOR_OTROSI_MANUAL,MULTIPLICADOR_MANUAL,CANTIDAD_OTRO_SI_MANUAL,OBSREVACIONES,UNOS,TIENE OTRO SI?,PORCENTAJE_VALOR_OTRO_SI,SERVICIO_FINAL_NORMALIZADO,OTRO_SI_ADICION_DINERO
1823,1,1,1409,EDU,9576,24,38,1.583333333,512146445,873558218,1.61,4,,1,1,1.705680527,GERINT,1
2068,1,1,1553,IND,109061,15,3.99,0.266,631551470.7,137528159,,4,ERROR - GERENCIA E INTERVENTORIA EN PESTAÑAS DISTINTAS….SE PONE GERINT Y SE TOMA INTERVENTORIA COMO ORIGINAL Y SE ASUME LA PARTE DE GERENCIA COMO ADICIONES QUE SON LAS DE MENOR VALOR,1,1,0.217762392,INT,1
2199,1,1,1620,SIN INFORMACION,1135,3,0,0,91106775,8224000,2.02,1,TIPO - TIPO PUEDE SER COMERCIAL…CLIENTE ALMACENES MAXIMO,1,1,0.090267711,GERINT,1
2202,1,1,1622,OFC,125000,49,,0,4006932199,182028925,,2,,1,1,0.045428501,INT,1
2210,1,1,1627,OFC,55573,27,2.33,0.086296296,1198747171,111138369,1.6,1,,1,1,0.092712101,INT,1
2217,1,1,1631,EDU,8375,32,6.73,0.2103125,2484566076,339444703,2.33,1,EN LA ULTIMA PESTAÑA NO SE TOMAN EN CUENTA LOS VALORES DE LAS TOPOGRAFIAS - SE TOMA EL VALOR DEL RESUMEN SIN LAS TOOGRAFIAS,1,1,0.136621322,GERINT,1
2221,1,1,1632,INS,,7,26,3.714285714,333628800,884413624.9,1.88,3,,1,1,2.650891125,GERINT,1
2226,1,1,1634,IND,10000,8,17,2.125,187028355,422244491,1.58,2,ERROR - EN EL RESUMEN FINAL SE MUESTRAN VALORES QUE NO ESTAN EN LAS PESTAÑSA - SE TOMAN LOS VALORES DEL RESUMEN,1,1,2.257649601,INT,1
2253,1,1,1654,REC,46973,15,,0,1012734870,77773824,1.5,1,,1,1,0.076795839,INT,1
2255,1,1,1655,IND,47800,7,4,0.571428571,528859872,611966421,1.39,2,ERROR - HAY EN EL RESUMEN OTRO SI QUE NO APARECE EN LAS PESTAÑAS,1,1,1.157142853,INT,1
2257,1,1,1656,OFC,19520,31,5,0.161290323,748060286,5600000,1.39,1,,1,1,0.007486028,INT,1
2266,1,1,1663,COM,29686,14,7,0.5,705679114,203326113,1.38,1,,1,1,0.288128285,GERINT,1
2281,1,1,1676,COM,20866,9,4.83,0.536666667,326630700,115797235,1.37,2,,1,1,0.354520365,INT,1
2284,1,1,1677,COM,,7,1,0.142857143,99000000,210620022,,2,,1,1,2.12747497,GERINT,1
2312,1,1,1695,COM,,5,0.83,0.166,161206900,19334397,1.45,1,,1,1,0.119935294,INT,1
2354,1,1,1721,IND,6630,7,2.57,0.367142857,141427956,54836294,1.69,2,,1,1,0.387733059,INT,1
2357,1,1,1722,IND,10000,7,15.5,2.214285714,187028355,414244490,1.62,4,ERROR - EL VALOR DE LA PESTAÑA ORIGINAL NO CONINCIDE CON E DEL RESUMEN DE LA ULTIMA POR POCO - SE TOMA EL RESUEMN DEL FINAL,1,1,2.214875333,GERINT,1
2416,1,1,1764,COM,,3,1.86,0.62,115365892,37860655,1.6,1,,1,1,0.32817893,INT,1
2450,1,1,1794,VIV,,14,7,0.5,374959567,152324031,ETAPAPREVIA:2.01-ETAPAOBRA:2.10,0,,1,0,0.406241217,INT,1
2466,1,1,1805,EDU,,3.5,2,0.571428571,78298675,45167753,,1,,1,1,0.576864845,INT,1
2489,1,1,1822,SAL,,1,0.4,0.4,23909814,14156275,,1,,1,1,0.592069641,INT,1
2497,1,1,1825,COM,,5,3,0.6,173109244,21600000,,1,,1,1,0.124776699,INT,1
2512,1,1,1837,IND,15718,15,,0,305429395,52877979,,1,,1,1,0.173126686,INT,1
2536,1,1,1854,EDU,,15,,0,28760730,11940377,,1,,1,1,0.415162515,INT,1
