Cuenta de c,Etiquetas de columna,,,
Etiquetas de fila,Confirmed,Rejected,Tentative,Total general
BD$COMPROMISOS,100.00%,0.00%,0.00%,100.00%
BD$PERSONAL,0.00%,100.00%,0.00%,100.00%
BD$PRODUCTOS,100.00%,0.00%,0.00%,100.00%
BD$SATISFACCION,0.00%,50.00%,50.00%,100.00%
BD$SOPORTE_ADMON,0.00%,100.00%,0.00%,100.00%
BD$SOPORTE_DIR,0.00%,100.00%,0.00%,100.00%
BD$SOPORTE_TEC,50.00%,0.00%,50.00%,100.00%
BD$VOLVER.A.CONTRATAR,0.00%,100.00%,0.00%,100.00%
Total general,31.25%,56.25%,12.50%,100.00%
