Cuenta de c,Etiquetas de columna,,,,
Etiquetas de fila,Confirmed,Rejected,Tentative,(en blanco),Total general
BD$COMPROMISOS001,100.00%,0.00%,0.00%,0.00%,100.00%
BD$COMPROMISOS002,100.00%,0.00%,0.00%,0.00%,100.00%
BD$COMPROMISOS003,100.00%,0.00%,0.00%,0.00%,100.00%
BD$COMPROMISOS004,100.00%,0.00%,0.00%,0.00%,100.00%
BD$COMPROMISOS005,100.00%,0.00%,0.00%,0.00%,100.00%
BD$PERSONAL001,100.00%,0.00%,0.00%,0.00%,100.00%
BD$PERSONAL002,100.00%,0.00%,0.00%,0.00%,100.00%
BD$PERSONAL003,100.00%,0.00%,0.00%,0.00%,100.00%
BD$PERSONAL004,100.00%,0.00%,0.00%,0.00%,100.00%
BD$PERSONAL005,100.00%,0.00%,0.00%,0.00%,100.00%
BD$PRODUCTOS001,100.00%,0.00%,0.00%,0.00%,100.00%
BD$PRODUCTOS002,0.00%,100.00%,0.00%,0.00%,100.00%
BD$PRODUCTOS003,0.00%,100.00%,0.00%,0.00%,100.00%
BD$PRODUCTOS004,0.00%,98.00%,2.00%,0.00%,100.00%
BD$PRODUCTOS005,0.00%,100.00%,0.00%,0.00%,100.00%
BD$SOPORTE_ADMON001,98.00%,0.00%,2.00%,0.00%,100.00%
BD$SOPORTE_ADMON002,0.00%,78.00%,22.00%,0.00%,100.00%
BD$SOPORTE_ADMON003,100.00%,0.00%,0.00%,0.00%,100.00%
BD$SOPORTE_ADMON004,100.00%,0.00%,0.00%,0.00%,100.00%
BD$SOPORTE_ADMON005,90.00%,0.00%,10.00%,0.00%,100.00%
BD$SOPORTE_DIR001,100.00%,0.00%,0.00%,0.00%,100.00%
BD$SOPORTE_DIR002,0.00%,9.00%,91.00%,0.00%,100.00%
BD$SOPORTE_DIR003,0.00%,100.00%,0.00%,0.00%,100.00%
BD$SOPORTE_DIR004,0.00%,51.00%,49.00%,0.00%,100.00%
BD$SOPORTE_DIR005,43.00%,6.00%,51.00%,0.00%,100.00%
BD$SOPORTE_TEC001,100.00%,0.00%,0.00%,0.00%,100.00%
BD$SOPORTE_TEC002,100.00%,0.00%,0.00%,0.00%,100.00%
BD$SOPORTE_TEC003,100.00%,0.00%,0.00%,0.00%,100.00%
BD$SOPORTE_TEC004,100.00%,0.00%,0.00%,0.00%,100.00%
BD$SOPORTE_TEC005,0.00%,100.00%,0.00%,0.00%,100.00%
(en blanco),0.00%,0.00%,0.00%,100.00%,100.00%
Total general,67.68%,24.73%,7.56%,0.03%,100.00%
