Cuenta de c,Etiquetas de columna,,,
Etiquetas de fila,Rejected,Tentative,(en blanco),Total general
BD$COMPROMISOS,100.00%,0.00%,0.00%,100.00%
BD$PERSONAL,100.00%,0.00%,0.00%,100.00%
BD$PRODUCTOS,100.00%,0.00%,0.00%,100.00%
BD$SATISFACCION,100.00%,0.00%,0.00%,100.00%
BD$SOPORTE_ADMON,100.00%,0.00%,0.00%,100.00%
BD$SOPORTE_DIR,20.00%,80.00%,0.00%,100.00%
BD$SOPORTE_TEC,100.00%,0.00%,0.00%,100.00%
BD$VOLVER.A.CONTRATAR,100.00%,0.00%,0.00%,100.00%
(en blanco),0.00%,0.00%,100.00%,100.00%
Total general,89.44%,9.94%,0.62%,100.00%
