Cuenta de c,Etiquetas de columna,,,
Etiquetas de fila,Confirmed,Rejected,(en blanco),Total general
BD$COMPROMISOS,0.00%,100.00%,0.00%,100.00%
BD$PERSONAL,0.00%,100.00%,0.00%,100.00%
BD$PRODUCTOS,0.00%,100.00%,0.00%,100.00%
BD$SATISFACCION,0.00%,100.00%,0.00%,100.00%
BD$SOPORTE_ADMON,0.00%,100.00%,0.00%,100.00%
BD$SOPORTE_DIR,100.00%,0.00%,0.00%,100.00%
BD$SOPORTE_TEC,0.00%,100.00%,0.00%,100.00%
BD$VOLVER.A.CONTRATAR,0.00%,100.00%,0.00%,100.00%
(en blanco),0.00%,0.00%,100.00%,100.00%
Total general,12.48%,87.39%,0.12%,100.00%
