,a,b,c
1,,,0
2,BD$COMPROMISOS,Confirmed,1
3,BD$PERSONAL,Confirmed,1
4,BD$VOLVER.A.CONTRATAR,Confirmed,1
5,BD$PRODUCTOS,Confirmed,1
6,BD$SOPORTE_ADMON,Confirmed,1
7,BD$SOPORTE_DIR,Confirmed,1
8,BD$SOPORTE_TEC,Confirmed,1
9,BD$COMPROMISOS,Confirmed,2
10,BD$PERSONAL,Confirmed,2
11,BD$VOLVER.A.CONTRATAR,Confirmed,2
12,BD$PRODUCTOS,Confirmed,2
13,BD$SOPORTE_ADMON,Confirmed,2
14,BD$SOPORTE_DIR,Confirmed,2
15,BD$SOPORTE_TEC,Confirmed,2
16,BD$COMPROMISOS,Confirmed,3
17,BD$PERSONAL,Confirmed,3
18,BD$VOLVER.A.CONTRATAR,Confirmed,3
19,BD$PRODUCTOS,Confirmed,3
20,BD$SOPORTE_ADMON,Confirmed,3
21,BD$SOPORTE_DIR,Confirmed,3
22,BD$SOPORTE_TEC,Confirmed,3
23,BD$COMPROMISOS,Confirmed,4
24,BD$PERSONAL,Confirmed,4
25,BD$VOLVER.A.CONTRATAR,Confirmed,4
26,BD$PRODUCTOS,Confirmed,4
27,BD$SOPORTE_ADMON,Confirmed,4
28,BD$SOPORTE_DIR,Confirmed,4
29,BD$SOPORTE_TEC,Confirmed,4
30,BD$COMPROMISOS,Confirmed,5
31,BD$PERSONAL,Confirmed,5
32,BD$VOLVER.A.CONTRATAR,Confirmed,5
33,BD$PRODUCTOS,Confirmed,5
34,BD$SOPORTE_ADMON,Confirmed,5
35,BD$SOPORTE_DIR,Confirmed,5
36,BD$SOPORTE_TEC,Confirmed,5
37,BD$COMPROMISOS,Confirmed,6
38,BD$PERSONAL,Confirmed,6
39,BD$VOLVER.A.CONTRATAR,Confirmed,6
40,BD$PRODUCTOS,Confirmed,6
41,BD$SOPORTE_ADMON,Confirmed,6
42,BD$SOPORTE_DIR,Confirmed,6
43,BD$SOPORTE_TEC,Confirmed,6
44,BD$COMPROMISOS,Confirmed,7
45,BD$PERSONAL,Confirmed,7
46,BD$VOLVER.A.CONTRATAR,Confirmed,7
47,BD$PRODUCTOS,Confirmed,7
48,BD$SOPORTE_ADMON,Confirmed,7
49,BD$SOPORTE_DIR,Confirmed,7
50,BD$SOPORTE_TEC,Confirmed,7
51,BD$COMPROMISOS,Confirmed,8
52,BD$PERSONAL,Confirmed,8
53,BD$VOLVER.A.CONTRATAR,Confirmed,8
54,BD$PRODUCTOS,Confirmed,8
55,BD$SOPORTE_ADMON,Confirmed,8
56,BD$SOPORTE_DIR,Confirmed,8
57,BD$SOPORTE_TEC,Confirmed,8
58,BD$COMPROMISOS,Confirmed,9
59,BD$PERSONAL,Confirmed,9
60,BD$VOLVER.A.CONTRATAR,Confirmed,9
61,BD$PRODUCTOS,Confirmed,9
62,BD$SOPORTE_ADMON,Confirmed,9
63,BD$SOPORTE_DIR,Confirmed,9
64,BD$SOPORTE_TEC,Confirmed,9
65,BD$COMPROMISOS,Confirmed,10
66,BD$PERSONAL,Confirmed,10
67,BD$VOLVER.A.CONTRATAR,Confirmed,10
68,BD$PRODUCTOS,Confirmed,10
69,BD$SOPORTE_ADMON,Confirmed,10
70,BD$SOPORTE_DIR,Confirmed,10
71,BD$SOPORTE_TEC,Confirmed,10
72,BD$COMPROMISOS,Confirmed,11
73,BD$PERSONAL,Confirmed,11
74,BD$VOLVER.A.CONTRATAR,Confirmed,11
75,BD$PRODUCTOS,Confirmed,11
76,BD$SOPORTE_ADMON,Confirmed,11
77,BD$SOPORTE_DIR,Confirmed,11
78,BD$SOPORTE_TEC,Confirmed,11
79,BD$COMPROMISOS,Confirmed,12
80,BD$PERSONAL,Confirmed,12
81,BD$VOLVER.A.CONTRATAR,Confirmed,12
82,BD$PRODUCTOS,Confirmed,12
83,BD$SOPORTE_ADMON,Confirmed,12
84,BD$SOPORTE_DIR,Confirmed,12
85,BD$SOPORTE_TEC,Confirmed,12
86,BD$COMPROMISOS,Confirmed,13
87,BD$PERSONAL,Confirmed,13
88,BD$VOLVER.A.CONTRATAR,Confirmed,13
89,BD$PRODUCTOS,Confirmed,13
90,BD$SOPORTE_ADMON,Confirmed,13
91,BD$SOPORTE_DIR,Confirmed,13
92,BD$SOPORTE_TEC,Confirmed,13
93,BD$COMPROMISOS,Confirmed,14
94,BD$PERSONAL,Confirmed,14
95,BD$VOLVER.A.CONTRATAR,Confirmed,14
96,BD$PRODUCTOS,Confirmed,14
97,BD$SOPORTE_ADMON,Confirmed,14
98,BD$SOPORTE_DIR,Confirmed,14
99,BD$SOPORTE_TEC,Confirmed,14
100,BD$COMPROMISOS,Confirmed,15
101,BD$PERSONAL,Confirmed,15
102,BD$VOLVER.A.CONTRATAR,Confirmed,15
103,BD$PRODUCTOS,Confirmed,15
104,BD$SOPORTE_ADMON,Confirmed,15
105,BD$SOPORTE_DIR,Confirmed,15
106,BD$SOPORTE_TEC,Confirmed,15
107,BD$COMPROMISOS,Confirmed,16
108,BD$PERSONAL,Confirmed,16
109,BD$VOLVER.A.CONTRATAR,Confirmed,16
110,BD$PRODUCTOS,Confirmed,16
111,BD$SOPORTE_ADMON,Confirmed,16
112,BD$SOPORTE_DIR,Confirmed,16
113,BD$SOPORTE_TEC,Confirmed,16
114,BD$COMPROMISOS,Confirmed,17
115,BD$PERSONAL,Confirmed,17
116,BD$VOLVER.A.CONTRATAR,Confirmed,17
117,BD$PRODUCTOS,Confirmed,17
118,BD$SOPORTE_ADMON,Confirmed,17
119,BD$SOPORTE_DIR,Confirmed,17
120,BD$SOPORTE_TEC,Confirmed,17
121,BD$COMPROMISOS,Confirmed,18
122,BD$PERSONAL,Confirmed,18
123,BD$VOLVER.A.CONTRATAR,Confirmed,18
124,BD$PRODUCTOS,Confirmed,18
125,BD$SOPORTE_ADMON,Confirmed,18
126,BD$SOPORTE_DIR,Confirmed,18
127,BD$SOPORTE_TEC,Confirmed,18
128,BD$COMPROMISOS,Confirmed,19
129,BD$PERSONAL,Confirmed,19
130,BD$VOLVER.A.CONTRATAR,Confirmed,19
131,BD$PRODUCTOS,Confirmed,19
132,BD$SOPORTE_ADMON,Confirmed,19
133,BD$SOPORTE_DIR,Confirmed,19
134,BD$SOPORTE_TEC,Confirmed,19
135,BD$COMPROMISOS,Confirmed,20
136,BD$PERSONAL,Confirmed,20
137,BD$VOLVER.A.CONTRATAR,Confirmed,20
138,BD$PRODUCTOS,Confirmed,20
