"","a","b","c"
"1","","",0
"2","BD$Acción","Rejected",1
"3","BD$Adaptabilidad","Rejected",1
"4","BD$Afiliación","Rejected",1
"5","BD$Afirmación","Rejected",1
"6","BD$Asesoramiento","Rejected",1
"7","BD$Autoconfianza","Rejected",1
"8","BD$Compromiso","Rejected",1
"9","BD$Confianza","Rejected",1
"10","BD$Control.Poder","Confirmed",1
"11","BD$Deseabilidad.Social","Rejected",1
"12","BD$Entusiasmo","Confirmed",1
"13","BD$Estabilidad.emocional","Rejected",1
"14","BD$Experimental","Rejected",1
"15","BD$Meticulosidad","Rejected",1
"16","BD$Optimismo","Confirmed",1
"17","BD$Potencial.manager","Rejected",1
"18","BD$Previsor","Rejected",1
"19","BD$Racionalidad","Rejected",1
"20","BD$Respeto.a.las.normas","Confirmed",1
"21","BD$Superación","Rejected",1
"22","BD$Táctica","Rejected",1
"23","BD$Acción","Rejected",2
"24","BD$Adaptabilidad","Rejected",2
"25","BD$Afiliación","Rejected",2
"26","BD$Afirmación","Rejected",2
"27","BD$Asesoramiento","Rejected",2
"28","BD$Autoconfianza","Rejected",2
"29","BD$Compromiso","Rejected",2
"30","BD$Confianza","Confirmed",2
"31","BD$Control.Poder","Rejected",2
"32","BD$Deseabilidad.Social","Rejected",2
"33","BD$Entusiasmo","Confirmed",2
"34","BD$Estabilidad.emocional","Rejected",2
"35","BD$Experimental","Rejected",2
"36","BD$Meticulosidad","Rejected",2
"37","BD$Optimismo","Confirmed",2
"38","BD$Potencial.manager","Rejected",2
"39","BD$Previsor","Rejected",2
"40","BD$Racionalidad","Rejected",2
"41","BD$Respeto.a.las.normas","Rejected",2
"42","BD$Superación","Rejected",2
"43","BD$Táctica","Rejected",2
