VARIABLE,%IncMSE,IncNodePurity
BD$COMPROMISOS005,0.27663295,12.15110057
BD$SOPORTE_TEC002,0.231251433,6.378538208
BD$PERSONAL001,0.199212676,5.524136333
BD$COMPROMISOS002,0.165652699,16.58544031
BD$PERSONAL005,0.112110167,5.632158483
BD$PRODUCTOS001,0.09545758,4.12263277
BD$PERSONAL002,0.080979029,3.619977391
BD$PERSONAL004,0.071773988,2.66835775
BD$SOPORTE_DIR001,0.065089667,3.315073463
BD$SOPORTE_ADMON004,0.064421069,7.24713857
BD$SOPORTE_TEC001,0.047783761,6.441379921
BD$PERSONAL003,0.043672706,1.825780183
BD$COMPROMISOS003,0.040899655,5.359236489
BD$SOPORTE_ADMON003,0.037971892,2.248782582
BD$COMPROMISOS001,0.036409077,6.347593538
BD$SOPORTE_ADMON005,0.035747843,4.274883932
BD$SOPORTE_TEC004,0.01953571,1.960305731
BD$COMPROMISOS004,0.018985726,4.774090678
BD$SOPORTE_ADMON001,0.013038791,3.645379269
BD$SOPORTE_TEC003,0.009155556,3.262229066
BD$PRODUCTOS002,0.008030629,1.17249141
BD$SOPORTE_DIR005,0.007397199,4.930020442
BD$PRODUCTOS004,0.006798146,1.400865146
BD$SOPORTE_ADMON002,0.006758375,2.080173907
BD$SOPORTE_DIR003,0.004756383,2.534936741
BD$SOPORTE_DIR002,0.002273405,1.515204923
BD$SOPORTE_DIR004,0.002257255,2.779597544
BD$SOPORTE_TEC005,0.002175559,1.276655122
BD$PRODUCTOS003,0.000827563,1.218664379
BD$PRODUCTOS005,-0.003745967,1.610726021
